[2024/04/16 16:24:23 IST] [INFO] (main.main:101) Module: main, MethodName: GetEnvironmentVariables, Message: Fetching stripes key from the Database and setting it as Environment Variables
[2024/04/16 16:27:59 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:795) Module: Login, MethodName: Authenticate, Message: Authentication successful, user: develop.nife@gmail.com
[2024/04/16 16:27:59 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:803) Module: Login, MethodName: GetUserIdByEmail, Message: Fetching user Id by Email successful, user: develop.nife@gmail.com
[2024/04/16 16:27:59 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:812) Module: Login, MethodName: GetUserRole, Message: Fetching role of the user is successfully completed, user: develop.nife@gmail.com
[2024/04/16 16:27:59 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:820) Module: Login, MethodName: GetPermission, Message: Permission based on role fetched successfully, user: develop.nife@gmail.com
[2024/04/16 16:27:59 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:830) Module: Login, MethodName: IsEmailVerified, Message: Email verification is successfully completed , user: develop.nife@gmail.com
[2024/04/16 16:27:59 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:844) Module: Login, MethodName: FreePlanDetails, Message: Checking free plan or not, successfully completed, user: develop.nife@gmail.com
[2024/04/16 16:28:00 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:881) Module: Login, MethodName: InsertCustomerStripesId, Message: Customer stripe Id successfully inserted, user: develop.nife@gmail.com
[2024/04/16 16:28:01 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:910) Module: Login, MethodName: GetEmailByCompanyName, Message: Fetching Company Name by Email successfully completed, user: develop.nife@gmail.com
[2024/04/16 16:28:01 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:919) Module: Login, MethodName: GetFirsttimeUser, Message: Checking first time user is successfully completed, user: develop.nife@gmail.com
[2024/04/16 16:28:01 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:982) Module: Login, MethodName: GetUserNameByEmail, Message: Fetching user name by email is successfully completed, user: develop.nife@gmail.com
[2024/04/16 16:28:01 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:991) Module: Login, MethodName: GenerateAccessAndRefreshToken, Message: Generating Access Token and Refresh Token successfully completed, user: develop.nife@gmail.com
[2024/04/16 16:28:01 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:999) Module: Login, MethodName: GetUserIdByEmail, Message: Fetching user Id by Email successful, user: develop.nife@gmail.com
[2024/04/16 16:28:01 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:1009) Module: Login, MethodName: GetCustPlanName, Message: Get user plan with ProductId:prod_MjXf7DEAaPQoto, user: develop.nife@gmail.com
[2024/04/16 16:28:01 IST] [INFO] (github.com/nifetency/nife.io/internal/users.Login:1017) Module: Login, MethodName: GetCustomerPermissionByPlan, Message: Get user permission with plan:prod_MjXf7DEAaPQoto, user: develop.nife@gmail.com
[2024/04/16 16:28:07 IST] [INFO] (github.com/nifetency/nife.io/api.(*queryResolver).AppQuotaExist:2289) Module: AppQuotaExist, MethodName: FreePlanDetails, Message: Get free plan user or not is successfully completed, user: 1223
[2024/04/16 16:28:07 IST] [INFO] (github.com/nifetency/nife.io/api.(*queryResolver).AppQuotaExist:2316) Module: AppQuotaExist, MethodName: GetCustPlanName, Message: Checking for permission to check apps count, user: 1223
[2024/04/16 16:28:07 IST] [INFO] (github.com/nifetency/nife.io/api.(*queryResolver).AppQuotaExist:2323) Module: AppQuotaExist, MethodName: GetCustomerPermissionByPlan, Message: Get user permission with plan:, user: develop.nife@gmail.com
[2024/04/16 16:28:07 IST] [INFO] (github.com/nifetency/nife.io/api.(*queryResolver).AppQuotaExist:2335) Module: AppQuotaExist, MethodName: GetCustPlan, Message:successfully reached, user: 1223
[2024/04/16 16:28:07 IST] [INFO] (github.com/nifetency/nife.io/api.(*queryResolver).GetUserPermissions:58) Module: GetUserPermissions, MethodName: GetUserPermission, Message: Fetching user permissions is successfully completed, user: 1223
